id,created,abbr,name,location,timezone,hour,md5
87,1738108548,FJT,Fiji Time,Pacific,UTC + 12 hours,12,f6f694e3384d3f19d3b90f437ee2dfd6
88,1738108548,FKST,Falkland Islands Summer Time,South America,UTC – 3 hours,-3,"064c0b78486a3c89be5c465d480b84a9"
89,1738108548,FKT,Falkland Island Time,South America,UTC – 4 hours,-4,70f23ef10d60cf58268601edc523d4e4
90,1738108548,FNT,Fernando de Noronha Time,South America,UTC – 2 hours,-2,1f01b1431569e4d1ca6f803df8ef5dd9
91,1738108548,G,Golf Time Zone,Military,UTC + 7 hours,7,e9a07156dfb1bedb21c8bd3203cb66a5
92,1738108548,GALT,Galapagos Time,Pacific,UTC – 6 hours,-6,8158985f46481910d7d8deaa6a77e2b3
93,1738108548,GAMT,Gambier Time,Pacific,UTC – 9 hours,-9,715ecf50ab392874ae902bd6f166731a
94,1738108548,GET,Georgia Standard Time,Asia,UTC + 4 hours,4,6dc1810d47b449664457e984f32653cb
95,1738108548,GFT,French Guiana Time,South America,UTC – 3 hours,-3,3bb5e225f5803eecfc372a5ba160f9a0
96,1738108548,GILT,Gilbert Island Time,Pacific,UTC + 12 hours,12,13244a3aefdfb96fb1d0b498e3df3edb
97,1738108548,GMT,Greenwich Mean Time,Africa,UTC,"0",38b14a17e0670c8c5e6fe3f7281bc307
98,1738108548,GMT,Greenwich Mean Time,Europe,UTC,"0",526fa7f0aa5eba2dcb6a4d95f9ee678a
99,1738108548,GST,Gulf Standard Time,Asia,UTC + 4 hours,4,33fbd0269058ad03c6c270e6ad9fad8d
100,1738108548,GYT,Guyana Time,South America,UTC – 4 hours,-4,724db96c34062ec292c22ca8e2112cf1
101,1738108548,H,Hotel Time Zone,Military,UTC + 8 hours,8,b451b511b5b1917ba5ebc31fd927b551
102,1738108548,HAA,Heure Avancée de l’Atlantique,Atlantic,UTC – 3 hours,-3,ced1a341b0b94f607505e66e7c82e92c
103,1738108548,HAA,Heure Avancée de l’Atlantique,North America,UTC – 3 hours,-3,ba744ad600e34cc22817e7ba0c73fe86
104,1738108548,HAC,Heure Avancée du Centre,North America,UTC – 5 hours,-5,39d8cc836ab599be0cc189ebd6ed2193
105,1738108548,HADT,Hawaii-Aleutian Daylight Time,North America,UTC – 9 hours,-9,c122ecb282ed8d4fbc2cf16da547f8a0
106,1738108548,HAE,Heure Avancée de l’Est,Caribbean,UTC – 4 hours,-4,"0343e654767dae7bcc99f843d8a89dd4"
107,1738108548,HAE,Heure Avancée de l’Est,North America,UTC – 4 hours,-4,8d194d3f2f5a8eee5d28878cf69d558b
108,1738108548,HAP,Heure Avancée du Pacifique,North America,UTC – 7 hours,-7,44e7f33b6f7356f5a3255693ee0f738c
109,1738108548,HAR,Heure Avancée des Rocheuses,North America,UTC – 6 hours,-6,9593444dfffb38deeeebd7424dcd05c3
110,1738108548,HAST,Hawaii-Aleutian Standard Time,North America,UTC – 10 hours,-10,ec1f52ddaf89ca4bfc54404956f3ad3c
111,1738108548,HAT,Heure Avancée de Terre-Neuve,North America,UTC – 2:30 hours,-2.5,500a5d7a5d20c96bbd2b4df0f410900f
112,1738108548,HAY,Heure Avancée du Yukon,North America,UTC – 8 hours,-8,"0be02e8681d04e053e720fb115ea3339"
113,1738108548,HKT,Hong Kong Time,Asia,UTC + 8 hours,8,6182cd0b9db2babfa54ece63ab6442b8
114,1738108548,HLV,Hora Legal de Venezuela,South America,UTC – 4:30 hours,-4.5,b1b1a5ce22a54bba2aa0d60773ada622
115,1738108548,HNA,Heure Normale de l’Atlantique,Atlantic,UTC – 4 hours,-4,1a3be50521f9affb7e69f3b4bb33c81e
116,1738108548,HNA,Heure Normale de l’Atlantique,Caribbean,UTC – 4 hours,-4,fa07e36671e3ece03482d70f693ec57d
117,1738108548,HNA,Heure Normale de l’Atlantique,North America,UTC – 4 hours,-4,5d5375b54b318bc0dc82f4142dc8b4d7
118,1738108548,HNC,Heure Normale du Centre,Central America,UTC – 6 hours,-6,b78cccc1c0fb675dd0b8bdff5f53f42f
119,1738108548,HNC,Heure Normale du Centre,North America,UTC – 6 hours,-6,6594e43ad63d25f4e8c6dcf602a23e1a
120,1738108548,HNE,Heure Normale de l’Est,Central America,UTC – 5 hours,-5,9115cdc087af8ceb77cf6b6157872fc2
121,1738108548,HNE,Heure Normale de l’Est,Caribbean,UTC – 5 hours,-5,1c4608c069a2237d15d11f3794e29521
122,1738108548,HNE,Heure Normale de l’Est,North America,UTC – 5 hours,-5,ff4bffb3921f000bd2bbf1514910706a
123,1738108548,HNP,Heure Normale du Pacifique,North America,UTC – 8 hours,-8,72809fa9c1fb53aee8280885baff7677
124,1738108548,HNR,Heure Normale des Rocheuses,North America,UTC – 7 hours,-7,9e01c6844527cbf3ba98b70542bc0633
125,1738108548,HNT,Heure Normale de Terre-Neuve,North America,UTC – 3:30 hours,-3.5,87de7b6e2ce4f2db8310c3cc3cbbc42b
126,1738108548,HNY,Heure Normale du Yukon,North America,UTC – 9 hours,-9,c984fba350eec33142ee933a91373938
127,1738108548,HOVT,Hovd Time,Asia,UTC + 7 hours,7,1402f54142d9f89963ceee774e57da44
128,1738108548,I,India Time Zone,Military,UTC + 9 hours,9,d309a206e60d387728c79d65db236513
129,1738108548,ICT,Indochina Time,Asia,UTC + 7 hours,7,fc5d29e675d981cc72c6685843411332
130,1738108548,IDT,Israel Daylight Time,Asia,UTC + 3 hours,3,12743b45642a18a802742ae1307ec1e1
131,1738108548,IOT,Indian Chagos Time,Indian Ocean,UTC + 6 hours,6,ec5c316c8b88e1c9db637f296d38332a
132,1738108548,IRDT,Iran Daylight Time,Asia,UTC + 4:30 hours,4.5,da71965bb34d6dd4d08474f153e79675
133,1738108548,IRKST,Irkutsk Summer Time,Asia,UTC + 9 hours,9,520db63650608636ffd148493b4e26e5
134,1738108548,IRKT,Irkutsk Time,Asia,UTC + 9 hours,9,7a94213fa3ec78e457c9d1ff570c0c98
135,1738108548,IRST,Iran Standard Time,Asia,UTC + 3:30 hours,3.5,2e9654ec0e57000713c4ae4ac0f874e2
136,1738108548,IST,Israel Standard Time,Asia,UTC + 2 hours,2,e63aa89eb8a6ffe13faa10a263978e3a
137,1738108548,IST,India Standard Time,Asia,UTC + 5:30 hours,5.5,de84ae4d0f350010088c3c36dcf784bb
138,1738108548,IST,Irish Standard Time,Europe,UTC + 1 hour,1,"089d7cb62344fd4fa7553408f49b7047"
139,1738108548,JST,Japan Standard Time,Asia,UTC + 9 hours,9,192ca68c11a9f290651731e75bb34d97
140,1738108548,K,Kilo Time Zone,Military,UTC + 10 hours,10,58b2a76e6dc39476fb14e7748a475c9c
141,1738108548,KGT,Kyrgyzstan Time,Asia,UTC + 6 hours,6,218bc6610798fd011c23ac33843511bb
142,1738108548,KRAST,Krasnoyarsk Summer Time,Asia,UTC + 8 hours,8,20fbcbe16ba4222816547a9856359f5b
143,1738108548,KRAT,Krasnoyarsk Time,Asia,UTC + 8 hours,8,cfde122e74af56bd81abdcd29745d792
144,1738108548,KST,Korea Standard Time,Asia,UTC + 9 hours,9,79cdeef388e1eb665cf807aa2769f9fb
145,1738108548,KUYT,Kuybyshev Time,Europe,UTC + 4 hours,4,93af96a45a335fb17828b2c58f288c4e
146,1738108548,L,Lima Time Zone,Military,UTC + 11 hours,11,9b7d7b81b76d133085c43f7ecaff71ad
147,1738108548,LHDT,Lord Howe Daylight Time,Australia,UTC + 11 hours,11,2d185ab8f44ccee1ab0d8a40e416c7f6
148,1738108548,LHST,Lord Howe Standard Time,Australia,UTC + 10:30 hours,10.5,1859edc0df9da0e6147d38db604692f5
149,1738108548,LINT,Line Islands Time,Pacific,UTC + 14 hours,14,d08eeada291fbfe2ad1cf3580397c117
150,1738108548,M,Mike Time Zone,Military,UTC + 12 hours,12,1f01ce9822c7fe55ee5343e1f185f490
151,1738108548,MAGST,Magadan Summer Time,Asia,UTC + 12 hours,12,882fcdd42e666c1941c91a8ac614d11b
152,1738108548,MAGT,Magadan Time,Asia,UTC + 12 hours,12,819d5edbe3c2169b12b7232ffd2b0d86
153,1738108548,MART,Marquesas Time,Pacific,UTC – 9:30 hours,-9.5,71413802d0831796ed2d6ede78e56d99
154,1738108548,MAWT,Mawson Time,Antarctica,UTC + 5 hours,5,3bcd5eeb234633aff2ada2383244a907
155,1738108548,MDT,Mountain Daylight Time,North America,UTC – 6 hours,-6,1834356e9abee265fb0f79d20c0b3d27
156,1738108548,MESZ,Mitteleuropäische Sommerzeit,Europe,UTC + 2 hours,2,ce59833deca0f1086ab8d8e75f27f2db
157,1738108548,MEZ,Mitteleuropäische Zeit,Africa,UTC + 1 hour,1,"03aec6a9bbe8f2e8baf9741d1d9f09d4"
158,1738108548,MHT,Marshall Islands Time,Pacific,UTC + 12 hours,12,a14547d7a0e66590f85dd044cef09e8a
